state,year,pres,gov,grade,subject,bb,ba,pr,ad
AZ,2013,R,R,4,READING,40.2092221844895,32.19714380941,22.2617007907981,5.33193321530243
AZ,2013,R,R,8,MATHEMATICS,31.1900326666951,38.2386203047598,23.5420078259891,7.02933920255596
AZ,2013,R,R,8,READING,28.027770178064,44.1335486280953,25.748798462418,2.0898827314227
AZ,2015,R,R,4,MATHEMATICS,21.2301040431417,40.9271747612345,31.8438510431552,5.99887015246869
AZ,2015,R,R,4,READING,38.2603953185536,32.1258767234748,22.8143365631117,6.79939139485988
AZ,2015,R,R,4,SCIENCE,29.3333343373953,38.1281241246734,31.9290062543525,0.609535283578774
AZ,2015,R,R,8,MATHEMATICS,27.7835969070971,37.387458046827,26.9175148667892,7.9114301792867
AZ,2015,R,R,8,READING,26.0951788801693,42.790304379121,28.6853008305189,2.42921591019083
AZ,2015,R,R,8,SCIENCE,38.9655910005585,35.5746896931523,24.4947244024772,0.964994903812029
AZ,2017,R,R,4,MATHEMATICS,26.6973227749216,39.4225480514014,26.8949159322847,6.98521324139226
AZ,2017,R,R,4,READING,38.9696136882157,30.6550877491417,22.8857649788361,7.48953358380654
AZ,2017,R,R,8,MATHEMATICS,29.3903920856018,37.0785427567978,24.3276874981682,9.20337765943215
AZ,2017,R,R,8,READING,25.2874813254545,44.2138994188991,28.0612093683004,2.43740988734601
AZ,2019,R,R,4,MATHEMATICS,22.5121600471204,40.1423521035639,30.0272076599739,7.31828018934187
AZ,2019,R,R,4,READING,38.6486183231459,29.966559107485,24.2077413569645,7.17708121240457
AZ,2019,R,R,8,MATHEMATICS,32.277246033311,36.7141963903987,22.2256806045268,8.78287697176344
AZ,2019,R,R,8,READING,30.4071602027276,41.2011297923212,25.5131502728589,2.87855973209225
AZ,1994,R,R,4,READING,48.216272136958,27.6637422210077,17.962675563841,6.15731007819327
AZ,1998,D,R,4,READING,48.9423221339135,29.0643080240864,17.5815776148082,4.41179222719187
AZ,1998,D,R,8,READING,27.8976711092959,45.49169064371,25.3643449619338,1.24629328506033
AZ,2002,R,R,4,READING,49.4029157851571,28.7552352281048,17.4522863772907,4.38956260944739
AZ,2002,R,R,8,READING,31.9052453852857,44.7605663449914,22.1125518409815,1.22163642874136
AZ,1990,R,D,8,MATHEMATICS,52.470995498451,34.8233953707848,11.4251574695964,1.28045166116786
AR,1992,D,D,4,MATHEMATICS,53.082815093455,37.2203074188187,9.31296464479033,0
AR,1992,D,D,4,READING,44.2426728889577,33.1011161336003,18.9370042800253,3.71920669741667
AR,1992,D,D,8,MATHEMATICS,55.7316100560106,34.2639694275917,9.26694616120334,0.737474355194316
AR,1996,D,R,4,MATHEMATICS,45.9468230185471,40.7792751483908,12.5977294522199,0.676172380842222
AR,1996,D,R,8,MATHEMATICS,48.0885553248211,38.7699459936774,11.5269441340162,1.61455454748525
AR,2000,R,R,4,MATHEMATICS,45.0723355442967,41.3533416789435,12.9581792673654,0.616143509394336
AR,2000,R,R,8,MATHEMATICS,51.4823615432106,35.0284812824399,12.1883625117256,1.30079466262383
AR,2003,R,R,4,MATHEMATICS,28.8495126849806,44.9553526813606,23.9431685522632,2.2519660813957
AR,2003,R,R,4,READING,40.3711233630413,31.5064642778892,21.9573079543602,6.16510440470922
AR,2003,R,R,8,MATHEMATICS,42.0826297063664,39.3629634855033,16.3717658038632,2.18264100426706
AR,2003,R,R,8,READING,29.8536404933611,43.3668583506203,24.8575949436557,1.9219062123629
AR,2005,R,R,4,MATHEMATICS,22.1912975330578,43.8458969283351,29.7944792855014,4.16832625310577
AR,2005,R,R,4,READING,37.443114698588,32.8722095016364,23.4934470934416,6.1912287063339
AR,2005,R,R,8,MATHEMATICS,35.9439190216857,42.0365870491647,19.0653549274356,2.95413900171403
AR,2005,R,R,8,READING,30.9799519495624,43.1560270181671,24.1464697207808,1.71755131148969
AR,2007,R,D,4,MATHEMATICS,19.2815380930186,44.0064485095633,32.4094907217234,4.30252267569482
AR,2007,R,D,4,READING,36.4847100121007,34.9284816322031,23.1534192792975,5.4333890763987
AR,2007,R,D,8,MATHEMATICS,35.276297960709,40.3414913341577,20.6737500066708,3.7084606984625
AR,2007,R,D,8,READING,30.3750087786758,44.1996862024423,24.0678897498929,1.35741526898893
AR,2009,R,D,4,MATHEMATICS,19.9976406170797,43.7512844438275,31.3748510138556,4.87622392523721
AR,2009,R,D,4,READING,36.8942733090817,34.3487487436802,22.9105826004097,5.84639534682841
AR,2009,R,D,4,SCIENCE,31.1634550853968,40.1816621173587,28.3549008805621,0
AR,2009,R,D,8,MATHEMATICS,33.3864186086382,39.6307885928295,22.6436989802613,4.33909381827098
AR,2009,R,D,8,READING,30.7543036952093,42.5884904871817,24.5714406210846,2.08576519652449
AR,2009,R,D,8,SCIENCE,42.2003151373725,33.5722936762103,23.5980598136792,0.62933137273803
AR,2011,R,D,4,MATHEMATICS,19.4811364700966,43.2393823762585,32.8051849872874,4.47429616635757
AR,2011,R,D,4,READING,37.2334526560296,32.6757955566421,24.1703283729461,5.92042341438219
AR,2011,R,D,8,MATHEMATICS,30.2275168946483,40.5158446066665,24.4603380740228,4.79630042466231
AR,2011,R,D,8,READING,29.4336716680995,42.7295731959068,26.2012096970237,1.63554543897001
AR,2011,R,D,8,SCIENCE,38.684438428494,34.842918245644,25.6853094153189,0.787333910543112
AR,2013,R,D,4,MATHEMATICS,17.078247594566,43.6359489312275,34.0814092568064,5.20439421740007
AR,2013,R,D,4,READING,34.016586176084,34.3436644518357,24.9661067856295,6.67364258645084
