state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
CA,2017,2,D,D,8,READING,BB,27.7156245940368
CA,2017,2,D,D,8,READING,BA,40.0645999661922
CA,2017,2,D,D,8,READING,PR,28.0538789432961
CA,2017,2,D,D,8,READING,AD,4.16589649647494
CA,2019,4,D,D,4,MATHEMATICS,BB,25.4229904885172
CA,2019,4,D,D,4,MATHEMATICS,BA,40.9499901871485
CA,2019,4,D,D,4,MATHEMATICS,PR,26.6885806907104
CA,2019,4,D,D,4,MATHEMATICS,AD,6.93843863362387
CA,2019,4,D,D,4,READING,BB,37.4511638822822
CA,2019,4,D,D,4,READING,BA,30.402184621804
CA,2019,4,D,D,4,READING,PR,23.7022005850897
CA,2019,4,D,D,4,READING,AD,8.44445091082405
CA,2019,4,D,D,8,MATHEMATICS,BB,39.0412624479099
CA,2019,4,D,D,8,MATHEMATICS,BA,32.4519686843517
CA,2019,4,D,D,8,MATHEMATICS,PR,18.9550906727995
CA,2019,4,D,D,8,MATHEMATICS,AD,9.55167819493889
CA,2019,4,D,D,8,READING,BB,32.1880487399076
CA,2019,4,D,D,8,READING,BA,37.9744234336553
CA,2019,4,D,D,8,READING,PR,25.8313088811876
CA,2019,4,D,D,8,READING,AD,4.00621894524944
CO,2011,1,D,D,4,MATHEMATICS,BB,15.6662193106829
CO,2011,1,D,D,4,MATHEMATICS,BA,37.4963047055875
CO,2011,1,D,D,4,MATHEMATICS,PR,37.1861821376153
CO,2011,1,D,D,4,MATHEMATICS,AD,9.65129384611428
CO,2011,1,D,D,4,READING,BB,29.3236737993075
CO,2011,1,D,D,4,READING,BA,32.170343020049
CO,2011,1,D,D,4,READING,PR,29.2084443577491
CO,2011,1,D,D,4,READING,AD,9.29753882289435
CO,2011,1,D,D,8,MATHEMATICS,BB,19.8109549576677
CO,2011,1,D,D,8,MATHEMATICS,BA,36.7305036301731
CO,2011,1,D,D,8,MATHEMATICS,PR,31.1885257720342
CO,2011,1,D,D,8,MATHEMATICS,AD,12.270015640125
CO,2011,1,D,D,8,READING,BB,18.9308326015548
CO,2011,1,D,D,8,READING,BA,40.75840921969
CO,2011,1,D,D,8,READING,PR,36.1065959549956
CO,2011,1,D,D,8,READING,AD,4.20416222375957
CO,2013,3,D,D,4,MATHEMATICS,BB,12.9951181956651
CO,2013,3,D,D,4,MATHEMATICS,BA,37.0694990534593
CO,2013,3,D,D,4,MATHEMATICS,PR,39.3055963529756
CO,2013,3,D,D,4,MATHEMATICS,AD,10.6297863979
CO,2013,3,D,D,4,READING,BB,25.9036923711143
CO,2013,3,D,D,4,READING,BA,33.458738802131
CO,2013,3,D,D,4,READING,PR,30.3310279406279
CO,2013,3,D,D,4,READING,AD,10.3065408861267
CO,2013,3,D,D,8,MATHEMATICS,BB,23.0437363804285
CO,2013,3,D,D,8,MATHEMATICS,BA,35.0442071312981
CO,2013,3,D,D,8,MATHEMATICS,PR,29.7699996997162
CO,2013,3,D,D,8,MATHEMATICS,AD,12.1420567885572
CO,2013,3,D,D,8,READING,BB,18.6930110212291
CO,2013,3,D,D,8,READING,BA,41.4677727159668
CO,2013,3,D,D,8,READING,PR,35.2607721267938
CO,2013,3,D,D,8,READING,AD,4.5784441360103
