state,year,pres,gov,grade,subject,ald,value
AL,2019,R,R,8,READING,PR,21.7463603849724
AL,2019,R,R,8,READING,AD,1.85043802819281
AL,1994,R,D,4,READING,BB,47.7484626036715
AL,1994,R,D,4,READING,BA,28.8654881047778
AL,1994,R,D,4,READING,PR,18.1541524814937
AL,1994,R,D,4,READING,AD,5.23189681005702
AL,1998,R,D,4,READING,BB,44.2534938091027
AL,1998,R,D,4,READING,BA,32.1599721671778
AL,1998,R,D,4,READING,PR,19.4153416694195
AL,1998,R,D,4,READING,AD,4.1711923543001
AL,1998,R,D,8,READING,BB,32.9700407859558
AL,1998,R,D,8,READING,BA,45.3070245186419
AL,1998,R,D,8,READING,PR,20.7892690551931
AL,1998,R,D,8,READING,AD,0.933665640209147
AL,2002,R,D,4,READING,BB,48.0737060676138
AL,2002,R,D,4,READING,BA,29.6189477209939
AL,2002,R,D,4,READING,PR,17.8795377790766
AL,2002,R,D,4,READING,AD,4.4278084323157
AL,2002,R,D,8,READING,BB,36.0369325120062
AL,2002,R,D,8,READING,BA,42.6442542245028
AL,2002,R,D,8,READING,PR,20.123097163627
AL,2002,R,D,8,READING,AD,1.19571609986406
AL,1990,R,R,8,MATHEMATICS,BB,59.7283772192286
AL,1990,R,R,8,MATHEMATICS,BA,31.2143776601198
AL,1990,R,R,8,MATHEMATICS,PR,8.10311412361507
AL,1990,R,R,8,MATHEMATICS,AD,0.954130997036543
AK,1996,R,D,4,MATHEMATICS,BB,35.4619780200255
AK,1996,R,D,4,MATHEMATICS,BA,43.9159975259727
AK,1996,R,D,4,MATHEMATICS,PR,18.5798682973567
AK,1996,R,D,4,MATHEMATICS,AD,2.0421561566451
AK,1996,R,D,8,MATHEMATICS,BB,32.2571768106431
AK,1996,R,D,8,MATHEMATICS,BA,37.8381737498863
AK,1996,R,D,8,MATHEMATICS,PR,23.202277234125
AK,1996,R,D,8,MATHEMATICS,AD,6.70237220534567
AK,2003,R,R,4,MATHEMATICS,BB,25.2296575351952
AK,2003,R,R,4,MATHEMATICS,BA,44.6130617786138
AK,2003,R,R,4,MATHEMATICS,PR,26.585356986724
AK,2003,R,R,4,MATHEMATICS,AD,3.57192369946697
AK,2003,R,R,4,READING,BB,42.3451785737791
AK,2003,R,R,4,READING,BA,29.9307796603993
AK,2003,R,R,4,READING,PR,21.6956448342392
AK,2003,R,R,4,READING,AD,6.02839693158243
AK,2003,R,R,4,SCIENCE,BB,6.02839693158243
AK,2003,R,R,4,SCIENCE,BA,6.02839693158243
AK,2003,R,R,4,SCIENCE,PR,6.02839693158243
AK,2003,R,R,4,SCIENCE,AD,6.02839693158243
AK,2003,R,R,8,MATHEMATICS,BB,30.3107537363217
AK,2003,R,R,8,MATHEMATICS,BA,39.7388487702237
AK,2003,R,R,8,MATHEMATICS,PR,24.2579548735076
AK,2003,R,R,8,MATHEMATICS,AD,5.69244261994704
AK,2003,R,R,8,READING,BB,33.3339588252329
AK,2003,R,R,8,READING,BA,39.8955487805092
AK,2003,R,R,8,READING,PR,24.1168066941478
AK,2003,R,R,8,READING,AD,2.65368570011013
AK,2005,R,R,4,MATHEMATICS,BB,23.0911593242402
AK,2005,R,R,4,MATHEMATICS,BA,43.1980369200934
AK,2005,R,R,4,MATHEMATICS,PR,29.2047543253125
AK,2005,R,R,4,MATHEMATICS,AD,4.50604943035383
AK,2005,R,R,4,READING,BB,41.85273298719
AK,2005,R,R,4,READING,BA,31.4346585176952
AK,2005,R,R,4,READING,PR,21.4143651127291
AK,2005,R,R,4,READING,AD,5.29824338238566
AK,2005,R,R,4,SCIENCE,BB,5.29824338238566
AK,2005,R,R,4,SCIENCE,BA,5.29824338238566
AK,2005,R,R,4,SCIENCE,PR,5.29824338238566
AK,2005,R,R,4,SCIENCE,AD,5.29824338238566
AK,2005,R,R,8,MATHEMATICS,BB,31.1065938243501
AK,2005,R,R,8,MATHEMATICS,BA,40.1604114633775
AK,2005,R,R,8,MATHEMATICS,PR,22.9207578045584
AK,2005,R,R,8,MATHEMATICS,AD,5.81223690771403
AK,2005,R,R,8,READING,BB,29.9894432178937
AK,2005,R,R,8,READING,BA,43.5629683778449
AK,2005,R,R,8,READING,PR,24.5761381261718
AK,2005,R,R,8,READING,AD,1.87145027808966
AK,2007,R,R,4,MATHEMATICS,BB,21.1626544528965
AK,2007,R,R,4,MATHEMATICS,BA,40.9446419188118
AK,2007,R,R,4,MATHEMATICS,PR,32.0795209932451
AK,2007,R,R,4,MATHEMATICS,AD,5.81318263504657
AK,2007,R,R,4,READING,BB,38.3086874151198
AK,2007,R,R,4,READING,BA,32.9522780803962
AK,2007,R,R,4,READING,PR,22.3473272913697
AK,2007,R,R,4,READING,AD,6.39170721311431
AK,2007,R,R,4,SCIENCE,BB,6.39170721311431
AK,2007,R,R,4,SCIENCE,BA,6.39170721311431
AK,2007,R,R,4,SCIENCE,PR,6.39170721311431
AK,2007,R,R,4,SCIENCE,AD,6.39170721311431
AK,2007,R,R,8,MATHEMATICS,BB,27.0168271552928
AK,2007,R,R,8,MATHEMATICS,BA,40.7506760539362
AK,2007,R,R,8,MATHEMATICS,PR,25.148937682419
AK,2007,R,R,8,MATHEMATICS,AD,7.08355910835205
AK,2007,R,R,8,READING,BB,29.2313633032202
AK,2007,R,R,8,READING,BA,43.6994320679968
AK,2007,R,R,8,READING,PR,25.2313159732275
AK,2007,R,R,8,READING,AD,1.83788865555552
AK,2009,R,R,4,MATHEMATICS,BB,21.6625253051178
AK,2009,R,R,4,MATHEMATICS,BA,40.5001704812044
AK,2009,R,R,4,MATHEMATICS,PR,31.9420804451897
AK,2009,R,R,4,MATHEMATICS,AD,5.89522376848818
AK,2009,R,R,4,READING,BB,40.9708454537746
AK,2009,R,R,4,READING,BA,31.8620062390394
AK,2009,R,R,4,READING,PR,21.9027477630702
AK,2009,R,R,4,READING,AD,5.26440054411587
AK,2009,R,R,4,SCIENCE,BB,5.26440054411587
AK,2009,R,R,4,SCIENCE,BA,5.26440054411587
AK,2009,R,R,4,SCIENCE,PR,5.26440054411587
AK,2009,R,R,4,SCIENCE,AD,5.26440054411587
AK,2009,R,R,8,MATHEMATICS,BB,25.489080029227
AK,2009,R,R,8,MATHEMATICS,BA,41.0537711577111
AK,2009,R,R,8,MATHEMATICS,PR,27.2541014607467
AK,2009,R,R,8,MATHEMATICS,AD,6.20304735231525
AK,2009,R,R,8,READING,BB,28.4216889271548
AK,2009,R,R,8,READING,BA,44.5372536141936
AK,2009,R,R,8,READING,PR,25.4517241763414
AK,2009,R,R,8,READING,AD,1.58933328231023
AK,2011,R,R,4,MATHEMATICS,BB,22.2010571936108
AK,2011,R,R,4,MATHEMATICS,BA,41.2383635679832
AK,2011,R,R,4,MATHEMATICS,PR,30.9050200752791
AK,2011,R,R,4,MATHEMATICS,AD,5.65555916312691
AK,2011,R,R,4,READING,BB,44.0687245064738
AK,2011,R,R,4,READING,BA,30.3623896377052
AK,2011,R,R,4,READING,PR,20.4139469166531
AK,2011,R,R,4,READING,AD,5.15493893916784
AK,2011,R,R,4,SCIENCE,BB,5.15493893916784
AK,2011,R,R,4,SCIENCE,BA,5.15493893916784
AK,2011,R,R,4,SCIENCE,PR,5.15493893916784
AK,2011,R,R,4,SCIENCE,AD,5.15493893916784
AK,2011,R,R,8,MATHEMATICS,BB,25.6311497481842
AK,2011,R,R,8,MATHEMATICS,BA,39.1939886306924
AK,2011,R,R,8,MATHEMATICS,PR,27.7679134610866
AK,2011,R,R,8,MATHEMATICS,AD,7.40694816003675
AK,2011,R,R,8,READING,BB,27.0204439016687
AK,2011,R,R,8,READING,BA,42.017678000857
AK,2011,R,R,8,READING,PR,28.3223686633115
AK,2011,R,R,8,READING,AD,2.6395094341628
AK,2011,R,R,8,SCIENCE,BB,31.8111036907789
AK,2011,R,R,8,SCIENCE,BA,34.6315546095305
AK,2011,R,R,8,SCIENCE,PR,32.2733782616422
AK,2011,R,R,8,SCIENCE,AD,1.28396343804843
AK,2013,R,R,4,MATHEMATICS,BB,23.4511738930303
